"ID","Year","LocationAbbr","LocationDesc","Class","Topic","Indicator","Response","DataSource","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","Sample_Size","Stratification","StratificationType","IndicatorId","LocationOrder","ParentStateDisplayOrder","FootnoteType","FootNoteSymbol","FootnoteText","URL","DatasourceAbbr","Agency"
"549663","2006","IL","Illinois","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","15.0","","","13.6","16.4","693","Overall","Overall","INCOME","16","16","","","","","",""
"549664","2006","IL","Illinois","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","49.2","","","47.3","51.1","2211","Overall","Overall","INCOME","16","16","","","","","",""
"551510","2006","IN","Indiana","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","8.9","","","7.9","9.9","621","Overall","Overall","INCOME","17","17","","","","","",""
"551511","2006","IN","Indiana","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","18.0","","","16.7","19.3","1092","Overall","Overall","INCOME","17","17","","","","","",""
"551512","2006","IN","Indiana","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","12.9","","","11.9","13.9","791","Overall","Overall","INCOME","17","17","","","","","",""
"551513","2006","IN","Indiana","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","17.6","","","16.3","18.9","949","Overall","Overall","INCOME","17","17","","","","","",""
"551514","2006","IN","Indiana","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","42.5","","","40.9","44.1","2166","Overall","Overall","INCOME","17","17","","","","","",""
"553729","2006","IA","Iowa","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","7.4","","","6.5","8.3","437","Overall","Overall","INCOME","18","18","","","","","",""
"553730","2006","IA","Iowa","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","13.9","","","12.7","15.1","754","Overall","Overall","INCOME","18","18","","","","","",""
"553731","2006","IA","Iowa","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","12.5","","","11.4","13.6","619","Overall","Overall","INCOME","18","18","","","","","",""
"553732","2006","IA","Iowa","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","19.4","","","18.0","20.8","885","Overall","Overall","INCOME","18","18","","","","","",""
"553733","2006","IA","Iowa","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","46.7","","","44.9","48.5","1991","Overall","Overall","INCOME","18","18","","","","","",""
"555423","2006","KS","Kansas","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","6.7","","","6.0","7.4","633","Overall","Overall","INCOME","19","19","","","","","",""
"555424","2006","KS","Kansas","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","16.1","","","15.0","17.2","1273","Overall","Overall","INCOME","19","19","","","","","",""
"555425","2006","KS","Kansas","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","13.3","","","12.4","14.2","1061","Overall","Overall","INCOME","19","19","","","","","",""
"556395","2006","KS","Kansas","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","17.5","","","16.4","18.6","1285","Overall","Overall","INCOME","19","19","","","","","",""
"556396","2006","KS","Kansas","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","46.5","","","45.1","47.9","3090","Overall","Overall","INCOME","19","19","","","","","",""
"558871","2006","KY","Kentucky","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","12.8","","","11.5","14.1","966","Overall","Overall","INCOME","20","20","","","","","",""
"558872","2006","KY","Kentucky","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","18.0","","","16.3","19.7","1023","Overall","Overall","INCOME","20","20","","","","","",""
"558873","2006","KY","Kentucky","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","14.0","","","12.4","15.6","651","Overall","Overall","INCOME","20","20","","","","","",""
"558874","2006","KY","Kentucky","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","15.9","","","14.3","17.5","724","Overall","Overall","INCOME","20","20","","","","","",""
"558875","2006","KY","Kentucky","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","39.3","","","37.1","41.5","1481","Overall","Overall","INCOME","20","20","","","","","",""
"560510","2006","LA","Louisiana","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","12.8","","","11.7","13.9","853","Overall","Overall","INCOME","21","21","","","","","",""
"560511","2006","LA","Louisiana","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","18.5","","","17.2","19.8","1079","Overall","Overall","INCOME","21","21","","","","","",""
"560512","2006","LA","Louisiana","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","12.9","","","11.8","14.0","785","Overall","Overall","INCOME","21","21","","","","","",""
"560513","2006","LA","Louisiana","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","16.9","","","15.6","18.2","902","Overall","Overall","INCOME","21","21","","","","","",""
"560514","2006","LA","Louisiana","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","38.9","","","37.3","40.5","2174","Overall","Overall","INCOME","21","21","","","","","",""
"562756","2006","ME","Maine","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","9.0","","","7.9","10.1","411","Overall","Overall","INCOME","22","22","","","","","",""
"562757","2006","ME","Maine","Demographics","Income","What is your annual household income?","$15,000 - 24,999","BRFSS","%","Crude Prevalence","15.5","","","13.9","17.1","576","Overall","Overall","INCOME","22","22","","","","","",""
"562758","2006","ME","Maine","Demographics","Income","What is your annual household income?","$25,000 - 34,999","BRFSS","%","Crude Prevalence","13.1","","","11.8","14.4","490","Overall","Overall","INCOME","22","22","","","","","",""
"562759","2006","ME","Maine","Demographics","Income","What is your annual household income?","$35,000 -  49,999","BRFSS","%","Crude Prevalence","19.0","","","17.5","20.5","661","Overall","Overall","INCOME","22","22","","","","","",""
"562760","2006","ME","Maine","Demographics","Income","What is your annual household income?","$50,000+","BRFSS","%","Crude Prevalence","43.5","","","41.5","45.5","1397","Overall","Overall","INCOME","22","22","","","","","",""
"565477","2006","MD","Maryland","Demographics","Income","What is your annual household income?","Less than $15,000","BRFSS","%","Crude Prevalence","5.8","","","5.0","6.6","534","Overall","Overall","INCOME","23","23","","","","","",""
