city,country,latitude,longitude,name,postalCode,province
Melbourne,US,28.1294,-80.6299,Subway,32935,FL
Ocala,US,29.1968,-82.1514,Manhattan Subs & Gyros,34475,FL
Texarkana,US,33.46667,-94.04323000000001,Burger King,75503,TX
Hudson,US,40.0775,-104.6487,Carl's Jr.,80642,CO
Conway,US,35.06969,-92.46013,Andy's Frozen Custard,72034,AR
Wickes,US,34.308807,-94.34025600000001,Pizza Pro,71973,AR
West Helena,US,34.5542,-90.65531999999999,Kfc,72390,AR
San Bernardino,US,34.067,-117.2617,El Pollo Loco,92408,CA
Walnut Ridge,US,36.07314,-90.95494000000001,McDonald's,72476,AR
Athens,US,34.8037,-86.9519,McDonald's,35611,AL
Bethesda,US,39.02284,-77.14688000000001,Popeyes Louisiana Kitchen,20817,MD
Hyattsville,US,38.95171,-76.96880999999999,Popeyes Louisiana Kitchen,20782,MD
Vandalia,US,39.8926,-84.1809,Dragon China,45377,OH
Alexandria,US,38.806259999999995,-77.05471,Charlene's Kitchen,22314,VA
Hobart,US,41.5511,-87.2369,Taco Bell,46342,IN
Hammond,US,41.588,-87.462,Burger King,46323,IN
Rockford,US,42.2597,-89.0541,McDonald's,61108,IL
Berwyn,US,41.8511,-87.779,KFC,60402,IL
Milton,US,47.25103,-122.29538000000001,Subway,98354,WA
Enumclaw,US,47.19938,-121.97502,Subway,98022,WA
Enumclaw,US,47.20153,-121.98931999999999,Domino's Pizza,98022,WA
Milton,US,47.25103,-122.29538000000001,Domino's Pizza,98354,WA
Puyallup,US,47.15782,-122.29608999999999,Orange Julius,98373,WA
Port Saint Lucie,US,27.3197,-80.3928,Moe's Southwest Grill,34986,FL
Falls Church,US,38.84817,-77.1249,McDonald's,22041,VA
Alexandria,US,38.8434,-77.112,McDonald's,22302,VA
Washington,US,38.899809999999995,-77.02303,BLIMPIE,20001,DC
Mc Lean,US,38.91792,-77.22138000000001,Five Guys Burgers Fries,22102,VA
Arlington,US,38.89635,-77.12625,McDonald's,22207,VA
Mount Airy,US,39.36273,-77.16395,Pizza Hut,21771,MD
Clermont,US,28.546,-81.711,Steak 'n Shake,34711,FL
Front Royal,US,38.9118,-78.1879,Burger King,22630,VA
Dayton,US,39.6305,-84.2124,SUBWAY,45458,OH
West Lafayette,US,40.4529,-86.9176,McDonald's,47906,IN
Delphi,US,40.5833,-86.6808,Dairy Queen Grill & Chill,46923,IN
Alexandria,US,38.77326,-77.13509,Subway,22315,VA
College Park,US,38.98424,-76.94935,Subway,20740,MD
Arlington,US,38.89687,-77.12586,Subway,22207,VA
Washington,US,38.94556,-76.97829,Subway,20018,DC
Brentwood,US,38.9344,-76.95186,Subway,20722,MD
Silver Spring,US,38.99845,-77.00393000000001,Domino's Pizza,20901,MD
Burke,US,38.7987,-77.32030999999999,Chipotle Mexican Grill,22015,VA
Linthicum Heights,US,39.192609999999995,-76.68276,Domino's Pizza,21090,MD
Great Falls,US,39.003895,-77.30829,Domino's Pizza,22066,VA
Centreville,US,38.82824,-77.4382,Chipotle Mexican Grill,20121,VA
Alexandria,US,38.814873,-77.12099,Chipotle Mexican Grill,22304,VA
Lorton,US,38.70169,-77.22071,Chipotle Mexican Grill,22079,VA
Vienna,US,38.90606,-77.2196,Chipotle Mexican Grill,22182,VA
Washington,US,38.840053999999995,-77.01720999999999,California Tortilla,20032,DC
Washington,US,38.88415,-77.02434000000001,Five Guys Burgers Fries,20024,DC
Washington,US,38.88415,-77.02434000000001,Potbelly Sandwich Works,20024,DC
Washington,US,38.900009999999995,-77.02243,Potbelly Sandwich Works,20001,DC
Rincon,US,32.2771,-81.2304,McDonald's,31326,GA
Arlington,US,38.85524,-77.04991,We The Pizza Crystal City,22202,VA
Deerfield Beach,US,26.3169,-80.1262,Pizza Hut,33442,FL
West Palm Beach,US,26.706999999999997,-80.0911,Pizza Hut,33409,FL
Merced,US,37.2951,-120.4518,Mountain Mike's Pizza,95341,CA
South Gate,US,33.9451,-118.2115,McDonald's,90280,CA
Arlington,US,35.2224,-89.7363,Subway,38002,TN
Saint Charles,US,38.7402,-90.6338,Jimmy John's,63304,MO
Ocala,US,29.2092,-82.0666,Subway,34470,FL
Melbourne,US,28.0846,-80.6228,McDonald's,32901,FL
San Jose,US,37.2538,-121.8312,Pizza Hut,95123,CA
San Jose,US,37.3158,-121.7936,Pizza Hut,95148,CA
Grand Canyon,US,35.97209,-112.12643,McDonald's,86023,AZ
Seligman,US,35.321247,-112.9548,AW All-American Food,86337,AZ
Florence,US,33.03097,-111.3871,Subway,85132,AZ
Winslow,US,35.04122,-110.69827,Arby's,86047,AZ
Elkhart,US,41.6867,-86.0585,McDonald's - CLOSED,46514,IN
Mesa,US,33.38933,-111.61483999999999,Jack in the Box,85209,AZ
Saint Louis,US,38.6357,-90.2401,Jimmy John's,63108,MO
Benson,US,31.988259999999997,-110.29411,Dairy Queen,85602,AZ
Fort Oglethorpe,US,34.9547,-85.2537,KFC,30742,GA
Augusta,US,33.5108,-82.0368,Taco Bell,30909,GA
Tucson,US,32.20735,-110.87456,Jack in the Box,85711,AZ
Tucson,US,32.13438,-110.97733000000001,Jack in the Box,85706,AZ
Tampa,US,28.0697,-82.4765,Pizza Hut,33612,FL
Coolidge,US,32.98579,-111.5236,Subway,85128,AZ
Mesa,US,33.38387,-111.74014,Burger King,85206,AZ
Eureka,US,40.7926,-124.1789,SUBWAY,95501,CA
Tucson,US,32.185629999999996,-110.96846000000001,Domino's Pizza,85713,AZ
Tucson,US,32.205909999999996,-110.84147,McDonald's,85710,AZ
Tucson,US,32.25841,-110.79842,McDonald's,85749,AZ
Tucson,US,32.1918,-110.8428,Burger King,85730,AZ
Duarte,US,34.1397,-117.9793,Flame Broiler,91010,CA
Elk Grove,US,38.424,-121.4152,Del Taco,95758,CA
Visalia,US,36.3418,-119.2789,Subway,93292,CA
Lodi,US,38.1305,-121.2735,Pizza Hut,95240,CA
Phoenix,US,33.66662,-112.12093,Jimmy John's,85027,AZ
Ranson,US,39.3204,-77.8514,McDonald's,25438,WV
Phoenix,US,33.45197,-112.20403,Burger King,85043,AZ
Tucson,US,32.20655,-110.90758000000001,Church's Chicken,85711,AZ
Tucson,US,32.25029,-110.82493999999998,Wendy's,85715,AZ
Utica,US,42.6707,-82.9752,900 Degrees Pizza,48315,MI
Waverly,US,42.7254,-92.4775,Subway,50677,IA
Delphi,US,40.586,-86.6799,Subway,46923,IN
Phoenix,US,33.466229999999996,-112.20472,Church's Chicken,85035,AZ
Phoenix,US,33.39327,-112.13296000000001,Taco Bell,85041,AZ
Phoenix,US,33.49432,-112.22028,Church's Chicken,85033,AZ
Glendale,US,33.61121,-112.18453999999998,Sunwest Burgers,85306,AZ
Oak Lawn,US,41.7268,-87.7415,McDonald's,60453,IL
Chattanooga,US,35.0842,-85.1983,Wendy's,37416,TN
Brunswick,US,31.1359,-81.5726,Krystal,31523,GA
Gainesville,US,29.6591,-82.4072,McDonald's,32605,FL
Merritt Island,US,28.3653,-80.6999,Checkers,32953,FL
Largo,US,27.8808,-82.8293,Pizza Hut,33774,FL
Seminole,US,27.837,-82.7867,KFC,33772,FL
Fort Pierce,US,27.4526,-80.3499,Chinese Thai To Go,34947,FL
Estes Park,US,40.3651,-105.5413,Baba's Burgers & Gyros,80517,CO
Phoenix,US,33.34816,-111.9819,Los Taquitos,85044,AZ
Tempe,US,33.34952,-111.96258,Arby's,85284,AZ
Eureka,US,40.802,-124.1665,Surfside Burger Shack,95501,CA
Coolidge,US,32.97788,-111.52368999999999,Pizza Hut,85128,AZ
Antioch,US,38.0055,-121.7557,Burger King,94509,CA
Phoenix,US,33.30584,-111.98953,BLIMPIE,85048,AZ
Temecula,US,33.4758,-117.1271,Del Taco,92592,CA
Atlanta,US,33.8433,-84.3276,Taco Bell,30329,GA
Wasilla,US,61.5712,-149.3838,Evangelo's Restaurant,99654,AK
Troy,US,40.0556,-84.2404,Jimmy John's,45373,OH
Tucson,US,32.20715,-110.8567,Charley's Grilled Subs,85710,AZ
Tucson,US,32.26927,-110.97755,Wienerschnitzel,85705,AZ
Elkhart,US,41.6909,-86.0034,Great Wall Chinese Restaurant,46514,IN
Mishawaka,US,41.6801,-86.1806,Dairy Queen Grill & Chill,46545,IN
Dowagiac,US,41.9835,-86.1233,Burger King,49047,MI
